POS_ID,Customer,Contact,Bill_Amount,Invoice_Date
POS-5001,Rahul K Patel,9876543210,1500,2026-08-21
POS-5002,Michael Brown,9876583563,2200,2026-08-22
POS-5003,David Miller,9876530926,980,2026-08-23
POS-5004,Alice Smith,9876522676,1240,2026-08-20
POS-5005,Bob Jones,9876599999,450,2026-08-18
POS-7000,Neha Patel,9825079848,1093,2026-08-03
POS-7001,Sanjay Sharma,9825092093,3456,2026-08-27
POS-7002,John Doe,9825084207,1431,2026-08-07
POS-7003,Vijay Kumar,9825087381,2874,2026-08-17
POS-7004,Priya Singh,9825086373,2182,2026-08-05
POS-7005,Karan Johar,9825038371,4754,2026-08-12
POS-7006,Sunita Rao,9825098892,1341,2026-08-20
POS-7007,Amit Shah,9825028347,1834,2026-08-21
POS-7008,Jane Roe,9825089490,4849,2026-08-28
POS-7009,Amit Shah,9825061189,2323,2026-08-01
POS-70010,Karan Johar,9825056217,2754,2026-08-22
POS-70011,Amit Shah,9825051915,4256,2026-08-13
POS-70012,Priya Singh,9825092962,1214,2026-08-14
POS-70013,Sunita Rao,9825056065,816,2026-08-03
POS-70014,John Doe,9825028411,4643,2026-08-19
