OrderID,Client,Phone,Region,Revenue,OrderDate
ORD-1000,Rahul Patel,,EAST,,invalid-date-format
ORD-1001,Rahul K Patel,9876528289,west,889,2026-08-22
ORD-1002,R Patel,9876587397,East,3506,2026-08-02
ORD-1003,Rahulk Patel,9876522280,East,1841,2026-08-08
ORD-1004,Michael Brown,9876583563,East,1678,2026-08-23
ORD-1005,Michael Brown,9876538893,South,3729,2026-08-19
ORD-1006,David Miller,9876530926,East,3512,2026-08-11
ORD-1007,David Miller,9876538221,West,2807,2026-08-04
ORD-1008,Alice Smith,9876522676,South,2990,2026-08-28
ORD-1009,David Miller,9876515695,North,3813,2026-08-18
ORD-1010,Alice Smith,9876520328,South,,2026-08-10
ORD-1011,Michael Brown,9876585674,North,1625,2026-08-23
ORD-1012,Alice Smith,,East,1916,2026-08-25
ORD-1013,David Miller,9876540512,East,877,2026-08-13
ORD-1014,David Miller,9876593320,South,3038,2026-08-06
ORD-1015,David Miller,9876537460,NORTH,2237,2026-08-23
ORD-1016,Alice Smith,9876580010,west,2055,2026-08-06
ORD-1017,Emma Wilson,9876545382,South,4612,2026-08-08
ORD-1018,David Miller,9876540021,East,312,2026-08-26
ORD-1019,David Miller,9876545093,South,592,2026-08-07
ORD-1020,Michael Brown,9876537869,North,,2026-08-13
ORD-1021,Emma Wilson,9876544718,West,1193,2026-08-08
ORD-1022,Michael Brown,9876586622,North,3559,2026-08-19
ORD-1023,Emma Wilson,9876538746,North,1183,2026-08-17
ORD-1024,Emma Wilson,,East,948,2026-08-05
ORD-1025,Bob Jones,9876588172,South,$570.00,2026-08-13
ORD-1026,Emma Wilson,9876579352,South,2109,2026-08-18
ORD-1027,Alice Smith,9876599353,East,4448,2026-08-25
ORD-1028,David Miller,9876524621,North,2454,2026-08-14
ORD-1029,Bob Jones,9876510425,South,2207,2026-08-17
ORD-1030,Bob Jones,9876591959,EAST,,invalid-date-format
ORD-1031,Michael Brown,9876530032,west,3113,2026-08-25
ORD-1032,Bob Jones,9876588504,East,2705,2026-08-16
ORD-1033,Alice Smith,9876557576,East,2569,2026-08-08
ORD-1034,Alice Smith,9876584364,West,695,2026-08-03
ORD-1035,Emma Wilson,9876579822,East,1080,2026-08-05
ORD-1036,Emma Wilson,,West,4372,2026-08-28
ORD-1037,Michael Brown,9876537760,South,4467,2026-08-25
ORD-1038,Bob Jones,9876562296,North,3109,2026-08-15
ORD-1039,Michael Brown,9876525860,South,2080,2026-08-08
ORD-1040,Rahul Patel,9876554313,East,,2026-08-19
ORD-1041,Rahul K Patel,9876587128,West,1854,2026-08-01
ORD-1042,R Patel,9876592719,East,532,2026-08-08
ORD-1043,Rahulk Patel,9876514117,East,2756,2026-08-03
ORD-1044,Michael Brown,9876546500,West,4026,2026-08-07
ORD-1045,Michael Brown,9876584847,WEST,4770,2026-08-16
ORD-1046,Bob Jones,9876563354,south,1609,2026-08-04
ORD-1047,Alice Smith,9876556438,South,3519,2026-08-14
ORD-1048,Emma Wilson,,East,856,2026-08-02
ORD-1049,Emma Wilson,9876524322,North,2086,2026-08-07
ORD-1050,Bob Jones,9876528373,South,,2026-08-06
ORD-1051,David Miller,9876542742,South,667,2026-08-15
ORD-1052,Michael Brown,9876516630,East,4478,2026-08-27
ORD-1053,Alice Smith,9876540982,East,1412,2026-08-14
ORD-1054,Emma Wilson,9876538016,South,3335,2026-08-02
ORD-1055,Bob Jones,9876510282,South,3248,2026-08-09
ORD-1056,Emma Wilson,9876565444,North,4602,2026-08-22
ORD-1057,Emma Wilson,9876534890,West,2480,2026-08-07
ORD-1058,Alice Smith,9876551104,East,518,2026-08-02
ORD-1059,Michael Brown,9876575909,South,4400,2026-08-06
ORD-1060,Alice Smith,,EAST,,invalid-date-format
ORD-1061,Alice Smith,9876562923,west,1032,2026-08-19
ORD-1062,Bob Jones,9876591183,East,721,2026-08-14
ORD-1063,Michael Brown,9876544179,North,1723,2026-08-22
ORD-1064,David Miller,9876544814,West,3292,2026-08-05
ORD-1065,David Miller,9876551441,South,644,2026-08-01
ORD-1066,Emma Wilson,9876519602,East,4454,2026-08-07
ORD-1067,Michael Brown,9876527361,North,2909,2026-08-03
ORD-1068,Bob Jones,9876547353,North,1342,2026-08-15
ORD-1069,Michael Brown,9876590173,North,4383,2026-08-01
ORD-1070,Michael Brown,9876596951,North,,2026-08-05
ORD-1071,David Miller,9876524029,East,4582,2026-08-05
ORD-1072,David Miller,,North,1775,2026-08-23
ORD-1073,David Miller,9876593130,West,2212,2026-08-17
ORD-1074,Emma Wilson,9876516658,North,806,2026-08-21
ORD-1075,Emma Wilson,9876515778,NORTH,$79.00,2026-08-11
ORD-1076,Bob Jones,9876531178,north,3669,2026-08-18
ORD-1077,Emma Wilson,9876524663,East,666,2026-08-23
ORD-1078,Bob Jones,9876558393,East,4821,2026-08-18
ORD-1079,Bob Jones,9876526704,South,392,2026-08-10
ORD-1080,Rahul Patel,9876515229,North,,2026-08-07
ORD-1081,Rahul K Patel,9876597416,West,892,2026-08-12
ORD-1082,R Patel,9876591351,South,1316,2026-08-08
ORD-1083,Rahulk Patel,9876533206,West,3427,2026-08-01
ORD-1084,Bob Jones,,North,2082,2026-08-09
ORD-1085,Bob Jones,9876560140,East,367,2026-08-28
ORD-1086,Emma Wilson,9876536158,West,3820,2026-08-12
ORD-1087,David Miller,9876539219,West,243,2026-08-22
ORD-1088,Bob Jones,9876553025,South,2332,2026-08-28
ORD-1089,Alice Smith,9876556025,North,4223,2026-08-13
ORD-1090,Michael Brown,9876513617,NORTH,,invalid-date-format
ORD-1091,Bob Jones,9876515014,north,938,2026-08-20
ORD-1092,Emma Wilson,9876551114,North,3624,2026-08-20
ORD-1093,Michael Brown,9876560488,East,4773,2026-08-07
ORD-1094,David Miller,9876567154,East,63,2026-08-17
ORD-1095,Michael Brown,9876557739,West,3583,2026-08-03
ORD-1096,David Miller,,North,1070,2026-08-24
ORD-1097,David Miller,9876597410,North,3395,2026-08-11
ORD-1098,Emma Wilson,9876582667,North,1092,2026-08-07
ORD-1099,Emma Wilson,9876598777,South,1475,2026-08-20
ORD-1100,Michael Brown,9876563225,North,,2026-08-27
ORD-1101,Alice Smith,9876547606,North,1771,2026-08-14
ORD-1102,Michael Brown,9876570946,North,3669,2026-08-15
ORD-1103,Bob Jones,9876532241,South,744,2026-08-10
ORD-1104,Michael Brown,9876522240,North,1974,2026-08-22
ORD-1105,David Miller,9876536100,WEST,1257,2026-08-01
ORD-1106,Alice Smith,9876572277,west,646,2026-08-15
ORD-1107,Emma Wilson,9876560328,West,4099,2026-08-13
ORD-1108,Bob Jones,,West,95,2026-08-25
ORD-1109,Alice Smith,9876538683,South,1490,2026-08-26
ORD-1110,Michael Brown,9876516582,South,,2026-08-08
ORD-1111,Alice Smith,9876527477,South,3856,2026-08-22
ORD-1112,Michael Brown,9876568008,North,4185,2026-08-14
ORD-1113,Michael Brown,9876530861,South,3938,2026-08-15
ORD-1114,David Miller,9876593579,West,2321,2026-08-25
ORD-1115,Michael Brown,9876592149,South,2009,2026-08-09
ORD-1116,Emma Wilson,9876547450,East,1970,2026-08-09
ORD-1117,David Miller,9876580798,North,710,2026-08-05
ORD-1118,Bob Jones,9876560205,West,1301,2026-08-23
ORD-1119,Bob Jones,9876564377,East,3389,2026-08-11
ORD-1120,Rahul Patel,,SOUTH,,invalid-date-format
ORD-1121,Rahul K Patel,9876561049,south,4834,2026-08-23
ORD-1122,R Patel,9876585456,East,3166,2026-08-16
ORD-1123,Rahulk Patel,9876556105,East,2496,2026-08-25
ORD-1124,Emma Wilson,9876580545,South,4523,2026-08-26
ORD-1125,Michael Brown,9876573993,West,$1847.00,2026-08-09
ORD-1126,Emma Wilson,9876513804,South,3235,2026-08-11
ORD-1127,Emma Wilson,9876571261,West,1095,2026-08-20
ORD-1128,Michael Brown,9876561645,East,4898,2026-08-19
ORD-1129,Alice Smith,9876594246,East,3561,2026-08-05
ORD-1130,Emma Wilson,9876516590,West,,2026-08-13
ORD-1131,David Miller,9876569598,West,2727,2026-08-11
ORD-1132,Emma Wilson,,North,2116,2026-08-27
ORD-1133,Alice Smith,9876512540,South,4468,2026-08-02
ORD-1134,David Miller,9876595215,West,612,2026-08-25
ORD-1135,Alice Smith,9876542411,EAST,1683,2026-08-27
ORD-1136,Alice Smith,9876541266,west,1084,2026-08-16
ORD-1137,Alice Smith,9876570952,West,2149,2026-08-25
ORD-1138,David Miller,9876589415,West,988,2026-08-25
ORD-1139,Bob Jones,9876524168,North,4790,2026-08-01
ORD-1140,David Miller,9876561990,South,,2026-08-03
ORD-1141,Michael Brown,9876523356,West,2520,2026-08-28
ORD-1142,Michael Brown,9876584177,East,386,2026-08-12
ORD-1143,Michael Brown,9876596706,South,3085,2026-08-03
ORD-1144,Michael Brown,,North,3491,2026-08-27
ORD-1145,Emma Wilson,9876566822,East,3017,2026-08-21
ORD-1146,Emma Wilson,9876567080,West,1492,2026-08-24
ORD-1147,Michael Brown,9876590728,North,4458,2026-08-25
ORD-1148,Emma Wilson,9876567091,South,4903,2026-08-09
